Player Name
La'Lynn Polk
Will Levis
Russell Wilson
Jonnu Smith
Bucky Irving
Noah Fant
Tyrone Tracy Jr.
Demario Douglas
Gabe Davis
Rashod Bateman
Isaiah Likely
Michael Wilson
Quentin Johnston
Ricky Pearsall
Troy Franklin
Kenneth Gainwell
Keaton Mitchell
Jalen McMillan
DJ Chark Jr.
Elijah Moore
Oakland Raiders DEF
Chicago Bears DEF
Colts DEF
