Player Name
Sam Laporta
DJ Moore
Dalton Kinkaid
DJ Moore
Brandon Aiyuk
Devon Achane
Stefon Diggs
C.J. Stroud
Alvin Kamara
Trey Mcbride
Jaylen Waddle
Tee Higgins
Dandre Swift
Joe Burrow
