Player Name,Position,Team,NFL ADP
Tyler Bass, BUF,K ,142.44
Jerome Ford, CLE,RB ,143.26
Romeo Doubs, GB,WR ,145.16
Mike Williams, NYJ,WR ,145.32
Daniel Carlson, LV,K ,145.49
Detroit Lions,DEF,Houston Texans,145.72
Chuba Hubbard, CAR,RB ,145.82
Miami Dolphins,DEF,Zach Charbonnet,145.85
Kirk Cousins, ATL,QB ,146.92
Houston Texans,DEF,Luke Musgrave,147.14
Baker Mayfield, TB,QB ,147.19
Deshaun Watson, CLE,QB ,147.77
Zach Charbonnet, SEA,RB ,147.79
Jason Sanders, MIA,K ,147.85
Jerry Jeudy, CLE,WR ,147.86
Luke Musgrave, GB,TE ,147.87
Trey Benson, ARI,RB ,148.21
Isaiah Likely, BAL,TE ,148.28
Brandin Cooks, DAL,WR ,148.32
Jahan Dotson, PHI,WR ,148.39
Green Bay Packers,DEF,ERROR,148.45
Adam Thielen, CAR,WR ,148.46
Bo Nix, DEN,QB ,148.61
Malachi Corley, NYJ,WR ,148.68
Las Vegas Raiders,DEF,Chris Boswell,148.70
Jakobi Meyers, LV,WR ,148.70
Chris Boswell, PIT,K ,148.71
Jason Myers, SEA,K ,148.84
Indianapolis Colts,DEF,J.K. Dobbins,149.14
New Orleans Saints,DEF,Cairo Santos,149.19
Seattle Seahawks,DEF,Xavier Legette,149.28
J.K. Dobbins, LAC,RB ,149.35
Roman Wilson, PIT,WR ,149.47
Cairo Santos, CHI,K ,149.47
Atlanta Falcons,DEF,Taysom Hill,149.48
Xavier Legette, CAR,WR ,149.48
Matt Gay, IND,K ,149.49
Dawson Knox, BUF,TE ,149.54
J.J. McCarthy, MIN,QB ,149.60
Gabe Davis, JAX,WR ,149.61
Taysom Hill, NO,TE ,149.76
Russell Wilson, PIT,QB ,149.84
New England Patriots,DEF,ERROR,149.86
Adonai Mitchell, IND,WR ,149.86
Geno Smith, SEA,QB ,149.92
Dontayvion Wicks, GB,WR ,149.93
Josh Palmer, LAC,WR ,149.94
Cade Otton, TB,TE ,149.94
Josh Palmer, LAC,WR ,149.94
Ricky Pearsall, SF,WR ,149.96
Darren Waller,TE,TE,150.01
Minnesota Vikings,DEF,Jermaine Burton,150.06
Odell Beckham Jr., MIA,WR ,150.07
Jermaine Burton, CIN,WR ,150.08
Hunter Henry, NE,TE ,150.10
