Player Name
Adam Thielen
Xavier Legette
Jerry Jeudy
Brandin Cooks
Dontayvion Wicks
Mike Williams
Chubba Hubbard
Cole Kmet
La'Lynn Polk
Will Levis
Russell Wilson
Jonnu Smith
Bucky Irving
Noah Fant
Tyrone Tracy Jr.
Demario Douglas
