Player Name
Caleb Williams
Javonte Williams
Jonathan Brooks
Jaylen Reed
Jared Goff
Christian Watson
Nick Chubb
Brian Thomas Jr.
Keon Coleman
David Montgomery
Justin Herbert
Pat Frieirmuth
Jameson Williams
