Player Name
Keon Coleman
David Montgomery
Justin Herbert
Pat Frieirmuth
Jameson Williams
Jakobi Meyers
Matthew Stafford
Joshua Palmer
Adonai Mitchell
Adam Thielen
Xavier Legette
Jerry Jeudy
Brandin Cooks
Dontayvion Wicks
Mike Williams
